===LAUE4 WAVELENGTH CALIBRATION FILE===
Instrument: VIVALDI   Calibration date: 13/04/2013
Comments: Generated by WAV_CONVERT
 0.681 0.016970 0.016970
 0.682 0.017310 0.017310
 0.683 0.017660 0.017660
 0.684 0.018020 0.018020
 0.685 0.018380 0.018380
 0.686 0.018740 0.018740
 0.687 0.019110 0.019110
 0.688 0.019490 0.019490
 0.689 0.019870 0.019870
 0.690 0.020260 0.020260
 0.691 0.020650 0.020650
 0.692 0.021050 0.021050
 0.693 0.021460 0.021460
 0.694 0.021870 0.021870
 0.695 0.022290 0.022290
 0.696 0.022710 0.022710
 0.697 0.023140 0.023140
 0.698 0.023580 0.023580
 0.699 0.024020 0.024020
 0.700 0.024470 0.024470
 0.701 0.024930 0.024930
 0.702 0.025390 0.025390
 0.703 0.025860 0.025860
 0.704 0.026330 0.026330
 0.705 0.026810 0.026810
 0.706 0.027300 0.027300
 0.707 0.027800 0.027800
 0.708 0.028300 0.028300
 0.709 0.028810 0.028810
 0.710 0.029330 0.029330
 0.711 0.029850 0.029850
 0.712 0.030380 0.030380
 0.713 0.030920 0.030920
 0.714 0.031460 0.031460
 0.715 0.032010 0.032010
 0.716 0.032570 0.032570
 0.717 0.033140 0.033140
 0.718 0.033710 0.033710
 0.719 0.034300 0.034300
 0.720 0.034880 0.034880
 0.721 0.035480 0.035480
 0.722 0.036090 0.036090
 0.723 0.036700 0.036700
 0.724 0.037320 0.037320
 0.725 0.037940 0.037940
 0.726 0.038580 0.038580
 0.727 0.039220 0.039220
 0.728 0.039870 0.039870
 0.729 0.040530 0.040530
 0.730 0.041200 0.041200
 0.731 0.041870 0.041870
 0.732 0.042560 0.042560
 0.733 0.043250 0.043250
 0.734 0.043950 0.043950
 0.735 0.044660 0.044660
 0.736 0.045370 0.045370
 0.737 0.046100 0.046100
 0.738 0.046830 0.046830
 0.739 0.047570 0.047570
 0.740 0.048320 0.048320
 0.741 0.049080 0.049080
 0.742 0.049850 0.049850
 0.743 0.050630 0.050630
 0.744 0.051410 0.051410
 0.745 0.052210 0.052210
 0.746 0.053010 0.053010
